ID,Transcript
0000,โกวาจี
0001,โกวาจี ฉัน แตงไทย
0002,โกวาจี ผม บี
0003,โกวาจี ผม ตาล
0004,โกวาจี ผม ฟร้องซ์
0005,ล็อกอิน ผ่าน การ จำ เสียง
0006,ล็อกอิน นาม บี
0007,ล็อกอิน นาม ตาล
0008,ล็อกอิน นาม แตงไทย
0009,ล็อกอิน นาม ฟร้องซ์
0010,ล็อกเอาท์
0011,เข้า หน้า โฮมเพจ
0012,เข้า หน้า ค้นหา
0013,แสดง โหมด ค้นหา
0014,เปิด โหมด หมายเลข หนึ่ง
0015,เปิด โหมด หมายเลข สอง
0016,เปิด โหมด หมายเลข สาม
0017,เปิด โหมด หมายเลข สี่
0018,เปิด โหมด หมายเลข ห้า
0019,เลือก วิดีโอ หมายเลข หนึ่ง
0020,เลือก วิดีโอ หมายเลข สอง
0021,เลือก วิดีโอ หมายเลข สาม
0022,เลือก วิดีโอ หมายเลข สี่
0023,เลือก วิดีโอ หมายเลข ห้า
0024,แสดง วิดีโอ อันดับ หนึ่ง ของ ฉัน
0025,แสดง วิดีโอ อันดับ สอง ของ ฉัน
0026,แสดง วิดีโอ อันดับ สาม ของ ฉัน
0027,เล่น วิดีโอ ที่ แสดง
0028,ปิด วิดีโอ ที่ แสดง
0029,เล่น ต่อ จาก วิดีโอ เดิม
0030,เปิด โปรแกรม
0031,ปิด โปรแกรม
0032,พอส วีดีโอ
0033,เล่น วีดีโอ
0034,หยุด วีดีโอ
0035,ขยาย หน้าจอ
0036,ย่อ หน้าจอ
0037,เปิด ลูป
0038,ปิด ลูป
0039,เล่น ตอน ต่อไป
0040,เล่น ตอน ที่แล้ว
0041,เซ็ต ความเร็ว วีดีโอ หนึ่ง จุด สอง ห้า เท่า
0042,เซ็ต ความเร็ว วีดีโอ หนึ่ง จุด ห้า เท่า
0043,เซ็ต ความเร็ว วีดีโอ สอง เท่า
0044,เซ็ต ความเร็ว วีดีโอ ศูนย์ จุด เจ็ด ห้า เท่า
0045,เซ็ต ความเร็ว วีดีโอ ศูนย์ จุด ห้า เท่า
0046,เพิ่ม ความเร็ว วีดีโอ สอง เท่า
0047,เพิ่ม ความเร็ว วีดีโอ ศูนย์ จุด หนึ่ง
0048,เพิ่ม ความเร็ว วีดีโอ ศูนย์ จุด สอง ห้า
0049,เพิ่ม ความเร็ว วีดีโอ ศูนย์ จุด ห้า
0050,เพิ่ม ความเร็ว วีดีโอ หนึ่ง
0051,ลด ความเร็ว วีดีโอ สอง เท่า
0052,ลด ความเร็ว วีดีโอ ศูนย์ จุด หนึ่ง
0053,ลด ความเร็ว วีดีโอ ศูนย์ จุด สอง ห้า
0054,ลด ความเร็ว วีดีโอ ศูนย์ จุด ห้า
0055,ลด ความเร็ว วีดีโอ หนึ่ง
0056,ย้อน วีดีโอ ไป หนึ่ง วินาที
0057,ย้อน วีดีโอ ไป ห้า วินาที
0058,ย้อน วีดีโอ ไป สิบ วินาที
0059,ย้อน วีดีโอ ไป สิบ ห้า วินาที
0060,ย้อน วีดีโอ ไป สาม สิบ วินาที
0061,ย้อน วีดีโอ ไป หนึ่ง นาที
0062,เลื่อน วีดีโอ ไป ห้า วินาที
0063,เลื่อน วีดีโอ ไป สิบ วินาที
0064,เลื่อน วีดีโอ ไป สิบ ห้า วินาที
0065,เลื่อน วีดีโอ ไป สาม สิบ วินาที
0066,เลื่อน วีดีโอ ไป หนึ่ง นาที
0067,เล่น วีดีโอ ที่ เวลา ศูนย์ นาที
0068,เล่น วีดิโอ ที่ กลาง ตอน
0069,เล่น วีดิโอ ที่ หนึ่ง ใน สี่ ของ ตอน
0070,เล่น วีดิโอ ที่ สาม ใน สี่ ของ ตอน
0071,ปิด เสียง
0072,ตั้งค่า เสียง ศูนย์ เปอร์เซนต์
0073,ตั้งค่า เสียง ยี่ สิบ ห้า เปอร์เซนต์
0074,ตั้งค่า เสียง ห้า สิบ เปอร์เซนต์
0075,ตั้งค่า เสียง เจ็ด สิบ ห้า เปอร์เซนต์
0076,ตั้งค่า เสียง ร้อย เปอร์เซนต์
0077,เพิ่ม เสียง
0078,ลด เสียง
0079,ปรับ คุณภาพ วิดีโอ ระดับ ต่ำ
0080,ปรับ คุณภาพ วิดีโอ ระดับ กลาง
0081,ปรับ คุณภาพ วิดีโอ ระดับ สูง
0082,ตั้ง เป็น รายการ โปรด
0083,เอา ออก จาก รายการ โปรด
0084,ตั้ง เป็น วิดีโอ ทอป วัน
0085,ตั้ง เป็น วิดีโอ ทอป ทู
0086,ตั้ง เป็น วิดีโอ ทอป ทรี
0087,หนึ่ง
0088,สอง
0089,สาม
0090,สี่
0091,ห้า
0092,หก
0093,เจ็ด
0094,แปด
0095,เก้า
0096,แนะนำ หนัง หน่อย สิ โกวาจี
0097,ขอ ชื่อ ผู้ อัพโหลด วีดีโอ
0098,วิดีโอ ความยาว เท่าไหร่
0099,ขอ ความยาว วิดีโอ
0100,วิดีโอ ชื่อ อะไร
0101,ขอ ชื่อ วิดีโอ
