แปด	p xx t^
โปรด	pr oo t^
ฉัน	ch a n^
สิบ	s i p^
วิดีโอ	w i d ii z oo
หน้าจอ	n aa c @@
ที่	th ii
ต่อไป	t @@ p a j^
นาม	n aa m^
หนึ่ง	n v ng^
ค้นหา	kh o n^ h aa
เลื่อน	l vva n^
ต่ำ	t a m^
บี	b ii
ผ่าน	ph aa n^
หมายเลข	m aa j^ l ee k^
โกวาจี	k oo w aa c ii
เวลา	w ee l aa
ทรี	s ii
เป็น	p e n^
การ	k aa n^
หก	h o k^
ตาล	t aa n^
ตอน	t @@ n^
สิ	s i
จำ	c a m^
นาที	n aa th ii
พอส	ph @@ t^
ทู	th uu
ยี่	j ii
โฮมเพจ	h oo m^ ph o t^
ตั้ง	t a ng^
หนัง	n a ng^
หยุด	j u t^
สี่	s ii
โหมด	m o t^
สูง	s uu ng^
เจ็ด	c e t^
ลูป	l uu p^
ผู้	ph uu
ความยาว	khw aa m^ m a j aa w^
ไป	p a j^
ปรับ	pr a p^
ศูนย์	s uu n^
วัน	w a n^
หน้า	n aa
ต่อ	t @@
เท่า	th a w^
ขยาย	kh a j aa j^
คุณภาพ	kh u n^ n a ph aa p^
เลือก	l vva k^
แนะนำ	n x n a m^
หน่อย	n @ j^
สอง	s @@ ng^
ของ	kh @@ ng^
เซ็ต	s e t^
เดิม	d qq m^
วีดีโอ	w ii d ii z oo
อันดับ	z a n^ d a p^
ลด	l o t^
แตงไทย	t xx ng^ th a j^
ระดับ	r a d a p^
โปรแกรม	pr oo kr x m^
กลาง	kl aa ng^
อัพโหลด	z a p^ ph a l oo t^
รายการ	r aa j^ k aa n^
คั้งค่า	kh a ng^ kh aa
ออก	z @@ k^
ตั้งค่า	t a ng^ kh aa
เสียง	s iia ng^
เล่น	l e n^
ทอป	th @@ p^
เปิด	p qq t^
ที่แล้ว	th ii l xx w^
ล็อกอิน	l o k^ z qq n^
ใน	n a j^
เก้า	k a w^
ล็อกเอาท์	l o k^ z a w^
วีดิโอ	w ii d i z oo
เข้า	kh a w^
ย้อน	j @@ n^
จุด	c u t^
เอา	z a w^
อะไร	z a r a j^
ขอ	kh @@
ผม	ph o m^
เท่าไหร่	th a w^ r a j^
เพิ่ม	ph qq m^
ปิด	p i t^
ความเร็ว	khw aa m^ r e w^
ร้อย	r @@ j^
ห้า	h aa
เปอร์เซนต์	p qq s e n^
ฟร้องซ์	fr @ ng^ s
จาก	c aa k^
แสดง	s a d xx ng^
ย่อ	j @@
วินาที	w i n aa th ii
ชื่อ	ch vv
สาม	s aa m^
